bvid,label,title,status,subtitle_lan,body_count,content_chars,keyword_hits,noise_hits,relevance
BV11D421J79N,support,大的终于来了，毕业论文抽查代码系统，究其本质是头痛医头，打破信息差,ok,ai-zh,461,5546,7,0,mixed_review
BV11L411Y7j3,support,一个开源方法，对领域所有可投期刊分类后顶刊水刊一眼明了，超乎你想象,ok,ai-zh,86,898,0,0,likely_mismatch
BV11g41127Zn,core,教你做称职的学术裁缝(纯干货)，明白顶刊和水刊的意义~,ok,ai-zh,133,2244,0,0,likely_mismatch
BV12M4y1J737,support,手把手教你论文投稿返修，期刊越差审稿周期越长是为什么？,ok,ai-zh,249,2577,0,56,likely_mismatch
BV12Z421M7pn,support,研究生毕业论文从入门到放弃，提前开卷,ok,ai-zh,146,1449,3,0,likely_mismatch
BV12xPceUEDn,core,研究生们，学术裁缝绝不是学术不端，除非你想学术不端，20250216(2)，,ok,ai-zh,1546,16930,441,0,likely_relevant
BV15eZTBxErS,support,教水论文救不了研究生，反复熏陶才能看清答案,ok,ai-zh,239,2592,1,0,likely_mismatch
BV168411F7j6,support,给正被催毕业大论文的你，硕士论文真的不难,ok,ai-zh,134,1555,0,0,likely_mismatch
BV16y421q7jy,support,一个学期/一学年如何发表一篇SCI4区论文？,ok,ai-zh,140,1586,52,0,likely_relevant
BV17s421N7am,core,学术裁缝(财富)让你保底毕业，学会编故事让你的论文更上一个级别，CVPR带读,ok,ai-zh,351,4001,71,0,likely_relevant
BV19jCrYsEoE,support,水论文1个原则，能用公共数据集，不用私有数据集，20241222,ok,ai-zh,1418,15427,301,0,likely_relevant
BV1B14y1D7EC,support,怎么选择合适的期刊，课题组有额外要求怎么办,ok,ai-zh,256,2240,0,1,likely_mismatch
BV1CP411G7VX,support,完蛋，复现论文模型性能更差了！！！,ok,ai-zh,673,7157,130,0,likely_relevant
BV1Cx4y187J8,support,研究生大论文返修延毕名单出来后，聊聊延毕只有老实人这个规律,empty_subtitle_url,ai-zh,0,0,0,0,unavailable
BV1EV4y1P7PQ,support,学术造假也请你认真对待，站在审稿人的角度教你水论文,ok,ai-zh,94,1110,1,1,likely_mismatch
BV1F24y1A7kw,support,期刊小论文和毕业大论文的“新”有什么区别,empty_subtitle_url,ai-zh,0,0,0,0,unavailable
BV1FKBXBCE84,core,仅想快速毕业，如何高效阅读论文,ok,ai-zh,20,245,0,0,too_short
BV1FW4y1Q76J,support,性能好才能发论文？高二生都发SCI了，你还在这想七想八，动不了手,ok,ai-zh,52,653,2,0,too_short
BV1Fuq5BPEye,support,我必须发顶刊，你咋不当院士，给我点背景，当代研究生该硬硬,ok,ai-zh,160,1616,1,0,likely_mismatch
